"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"01.08.2025","41,340","39,840","41,340","39,840","6,79M","3,77%"
"31.07.2025","39,840","39,580","40,620","39,200","5,73M","0,71%"
"30.07.2025","39,560","38,680","40,300","38,600","7,45M","2,28%"
"29.07.2025","38,680","38,080","38,960","37,720","4,42M","2,38%"
"28.07.2025","37,780","38,200","39,180","37,560","7,19M","-0,53%"
"25.07.2025","37,980","37,620","38,300","37,300","2,77M","0,69%"
"24.07.2025","37,720","37,040","38,420","37,020","5,38M","2,00%"
"23.07.2025","36,980","36,880","37,400","36,200","5,45M","0,43%"
"22.07.2025","36,820","36,720","37,200","36,320","4,87M","0,27%"
"21.07.2025","36,720","36,440","37,220","36,440","2,66M","0,82%"
"18.07.2025","36,420","36,600","36,900","36,240","3,33M","0,05%"
"17.07.2025","36,400","35,180","36,460","35,100","4,67M","3,76%"
"16.07.2025","35,080","34,460","35,760","34,380","6,47M","1,68%"
"14.07.2025","34,500","35,040","35,380","34,200","2,43M","-1,43%"
"11.07.2025","35,000","34,680","35,400","34,540","4,73M","0,98%"
"10.07.2025","34,660","34,980","35,400","34,660","5,91M","0,06%"
"09.07.2025","34,640","33,000","34,980","33,000","6,88M","5,35%"
"08.07.2025","32,880","33,080","33,320","32,480","3,70M","-0,60%"
"07.07.2025","33,080","33,760","33,780","32,740","3,86M","-2,93%"
"04.07.2025","34,080","34,020","34,300","33,700","2,95M","0,59%"
"03.07.2025","33,880","34,000","34,460","33,760","5,85M","1,26%"
